id,severity,area,url,title,description,evidence,status
BUG-001,High,Communities,https://www.akolades.com/communities/mikingdom,Community not found on its own route,"Community 'MiKingdom' (handle mikingdom) returned by CommunityService/ListUserCommunities API but /communities/mikingdom renders 'Community not found. The community /mikingdom does not exist or may have been removed.'",API returns handle=mikingdom; route with same slug 404s,CONFIRMED
BUG-002,High,Network,https://www.akolades.com/v1/social/suggestions?limit=20,Social suggestions API returns 500,"GET /v1/social/suggestions?limit=20 -> HTTP 500 {'error':'internal error'}. Fires on Network page (Suggestions + Following tabs). Page silently falls back to 'Follow more people to unlock suggestions'.",Captured on /network and /network?tab=following,CONFIRMED
BUG-003,High,Connections,https://www.akolades.com/settings/connections,All Connect buttons broken - OAuth missing client_id,"Every 'Connect' button (Google, Battle.net, Riot Games, Discord, Steam) redirects to Google OAuth error 'Access blocked: Authorization Error - Missing required parameter: client_id'. Systemic OAuth misconfiguration - the entire gaming/linked-account integration is non-functional.",All 5 Connect buttons -> accounts.google.com/signin/oauth/error?authError=...client_id...,CONFIRMED
BUG-004,High,Platform,https://www.akolades.com/messaging,Messaging not implemented,"Primary nav 'Messaging' renders placeholder 'Messaging is coming soon. Direct messages will be availab...'",Rendered body shows coming-soon placeholder,CONFIRMED
BUG-005,Medium,Platform,https://www.akolades.com/bookmarks,Bookmarks not implemented,"Primary nav 'Bookmarks' renders 'Coming in Phase 16' placeholder. Feature incomplete.",Rendered body shows placeholder,CONFIRMED
BUG-006,Medium,Gaming,https://www.akolades.com/settings/connections,PlayStation/Xbox/Nintendo integrations absent,"Platform positioned (per user) to integrate PSN, Xbox Live, Nintendo, Riot. Connections page only offers Google, Battle.net, Riot, Discord, Steam. No PlayStation Network, Xbox Live, or Nintendo options.",Connections page lists only Google/Battle.net/Riot/Discord/Steam,CONFIRMED
BUG-007,Medium,Settings,https://www.akolades.com/settings/linked-accounts,Linked Accounts empty with no route,"Profile 'Linked Accounts' tab shows 'No linked accounts - Connect accounts from your settings' but /settings/linked-accounts and /settings/accounts 404. The actual page is /settings/connections (unclear link).",Linked Accounts tab empty; /settings/linked-accounts -> 404,CONFIRMED
BUG-008,Medium,Auth,https://www.akolades.com/akolades.identity.v1.IdentityService/GetCurrentUser,Intermittent 401 auth errors,"GetCurrentUser and /v1/users/me intermittently return 401 'authentication required' even while logged in (observed on /settings/account and /settings/connections loads). Possible token expiry/refresh bug.",401 responses captured during settings navigation,CONFIRMED
BUG-009,Low,Feed,https://www.akolades.com/feed,Post composer has no visible editor,"Feed 'Post'/'Photo'/'Video'/'Event' buttons present but no textarea/contenteditable/role=textbox editor is rendered - composer appears inert/empty.",0 editors found on /feed; Photo/Video/Event tabs not clickable,CONFIRMED
BUG-010,Low,Console,https://www.akolades.com,CSP violation loading Cloudflare beacon,"Console error: 'Loading the script https://static.cloudflareinsights.com/beacon.min.js... violates the Content Security Policy' on every page.",CSP violation console error on all routes,CONFIRMED
BUG-011,Info,Billing,https://www.akolades.com/settings/billing,Upgrade to Premium appears inert,"'Upgrade to Premium' button does not navigate or show a checkout/pricing modal - stays on /settings/billing.",Click -> no state change, unverified
